,Element,Line,Type,Energy
632,Sb,La1,Emission Line,3603.8
651,Te,Ln,Emission Line,3606.0
589,In,Lb6,Emission Line,3607.1
1780,Bk,Ma,Emission Line,3616.0
1727,Am,Mb,Emission Line,3635.0
702,Xe,Ll,Emission Line,3637.3
606,Sn,Lb1,Emission Line,3662.8
1673,Np,Mg,Emission Line,3664.0
98,Ca,Ka2,Emission Line,3688.8
99,Ca,Ka1,Emission Line,3692.3
601,Sn,Lb4,Emission Line,3708.5
1806,Cf,Ma,Emission Line,3709.0
590,In,"Lb2,15",Emission Line,3712.3
563,Cd,Lg1,Emission Line,3715.3
1753,Cm,Mb,Emission Line,3740.0
537,Ag,Lg2,Emission Line,3742.3
538,Ag,Lg3,Emission Line,3747.7
602,Sn,Lb3,Emission Line,3750.4
655,Te,La2,Emission Line,3757.6
1699,Pu,Mg,Emission Line,3765.0
656,Te,La1,Emission Line,3768.0
675,I,Ln,Emission Line,3780.0
611,Sn,Lb6,Emission Line,3791.9
726,Cs,Ll,Emission Line,3801.0
1779,Bk,Mb,Emission Line,3842.0
628,Sb,Lb1,Emission Line,3842.5
1725,Am,Mg,Emission Line,3869.0
623,Sb,Lb4,Emission Line,3885.3
612,Sn,"Lb2,15",Emission Line,3904.1
585,In,Lg1,Emission Line,3920.3
679,I,La2,Emission Line,3926.2
624,Sb,Lb3,Emission Line,3931.6
680,I,La1,Emission Line,3937.7
1805,Cf,Mb,Emission Line,3946.0
750,Ba,Ll,Emission Line,3954.0
560,Cd,Lg3,Emission Line,3954.1
559,Cd,Lg2,Emission Line,3954.1
699,Xe,Ln,Emission Line,3958.3
1751,Cm,Mg,Emission Line,3976.0
633,Sb,Lb6,Emission Line,3978.8
106,Sc,Ka3,Emission Line,3994.0
100,Ca,Kb3,Emission Line,4013.1
101,Ca,Kb1,Emission Line,4013.1
652,Te,Lb1,Emission Line,4028.6
647,Te,Lb4,Emission Line,4068.2
1777,Bk,Mg,Emission Line,4078.0
107,Sc,Ka2,Emission Line,4088.4
108,Sc,Ka1,Emission Line,4093.3
703,Xe,La2,Emission Line,4097.0
634,Sb,"Lb2,15",Emission Line,4098.7
704,Xe,La1,Emission Line,4109.6
648,Te,Lb3,Emission Line,4118.2
774,La,Ll,Emission Line,4121.0
607,Sn,Lg1,Emission Line,4131.1
723,Cs,Ln,Emission Line,4148.0
582,In,Lg3,Emission Line,4164.5
581,In,Lg2,Emission Line,4164.5
657,Te,Lb6,Emission Line,4171.6
1803,Cf,Mg,Emission Line,4186.0
676,I,Lb1,Emission Line,4221.2
671,I,Lb4,Emission Line,4257.0
727,Cs,La2,Emission Line,4271.5
728,Cs,La1,Emission Line,4285.4
798,Ce,Ll,Emission Line,4287.0
658,Te,"Lb2,15",Emission Line,4299.1
672,I,Lb3,Emission Line,4313.0
747,Ba,Ln,Emission Line,4331.0
629,Sb,Lg1,Emission Line,4346.7
681,I,Lb6,Emission Line,4371.0
604,Sn,Lg3,Emission Line,4381.4
603,Sn,Lg2,Emission Line,4381.4
115,Ti,Ka3,Emission Line,4405.1
700,Xe,Lb1,Emission Line,4418.0
695,Xe,Lb4,Emission Line,4450.9
751,Ba,La2,Emission Line,4451.3
822,Pr,Ll,Emission Line,4453.0
110,Sc,Kb1,Emission Line,4463.7
109,Sc,Kb3,Emission Line,4463.7
752,Ba,La1,Emission Line,4466.5
116,Ti,Ka2,Emission Line,4505.8
682,I,"Lb2,15",Emission Line,4506.4
117,Ti,Ka1,Emission Line,4512.2
696,Xe,Lb3,Emission Line,4512.4
771,La,Ln,Emission Line,4529.0
653,Te,Lg1,Emission Line,4570.1
705,Xe,Lb6,Emission Line,4572.8
625,Sb,Lg2,Emission Line,4602.4
626,Sb,Lg3,Emission Line,4602.4
724,Cs,Lb1,Emission Line,4618.5
775,La,La2,Emission Line,4630.0
846,Nd,Ll,Emission Line,4633.0
719,Cs,Lb4,Emission Line,4643.0
776,La,La1,Emission Line,4647.0
720,Cs,Lb3,Emission Line,4711.0
