Element,Line,Type,Energy
Nd,Lb3,Escape Peak (Si),4129.0
Y,Lb3,Sum Peak (2x),4148.4
Eu,La1,Escape Peak (Si),4149.5
Mn,Ka2,Escape Peak (Si),4189.1
Mn,Ka1,Escape Peak (Si),4200.3
I,Lb1,Emission Line,4221.2
Cr,Kb3,Escape Peak (Si),4246.8
Cr,Kb1,Escape Peak (Si),4246.8
Zr,Lb1,Sum Peak (2x),4251.8
Pm,Lb4,Escape Peak (Si),4256.6
I,Lb4,Emission Line,4257.0
Pm,Lb1,Escape Peak (Si),4261.0
Cs,La2,Emission Line,4271.5
P,Kb3,Sum Peak (2x),4277.0
P,Kb1,Sum Peak (2x),4279.0
Cs,La1,Emission Line,4285.4
Cr,Kb5,Escape Peak (Si),4287.0
I,Lb3,Emission Line,4313.0
Gd,La2,Escape Peak (Si),4321.1
Nb,La2,Sum Peak (2x),4332.0
Nb,La1,Sum Peak (2x),4337.4
Gd,La1,Escape Peak (Si),4353.4
Pm,Lb3,Escape Peak (Si),4371.0
Zr,Lb4,Sum Peak (2x),4377.0
Zr,Lb3,Sum Peak (2x),4404.4
Ti,Ka3,Emission Line,4405.1
Xe,Lb1,Emission Line,4418.0
Xe,Lb4,Emission Line,4450.9
Ba,La2,Emission Line,4451.3
Sc,Kb3,Emission Line,4463.7
Sc,Kb1,Emission Line,4463.7
Ba,La1,Emission Line,4466.5
S,Ka3,Sum Peak (2x),4482.2
Sm,Lb4,Escape Peak (Si),4496.0
Sm,Lb1,Escape Peak (Si),4501.1
Ti,Ka2,Emission Line,4505.8
Ti,Ka1,Emission Line,4512.2
Xe,Lb3,Emission Line,4512.4
Nb,Lb1,Sum Peak (2x),4520.0
Tb,La2,Escape Peak (Si),4537.1
Fe,Ka3,Escape Peak (Si),4567.4
Tb,La1,Escape Peak (Si),4572.9
Mo,La2,Sum Peak (2x),4577.8
Mo,La1,Sum Peak (2x),4584.2
S,Ka2,Sum Peak (2x),4616.8
Sm,Lb3,Escape Peak (Si),4617.2
Cs,Lb1,Emission Line,4618.5
S,Ka1,Sum Peak (2x),4619.0
La,La2,Emission Line,4630.0
Cs,Lb4,Emission Line,4643.0
Nb,Lb4,Sum Peak (2x),4643.8
La,La1,Emission Line,4647.0
Nb,Lb3,Sum Peak (2x),4674.8
Fe,Ka2,Escape Peak (Si),4692.1
Fe,Ka1,Escape Peak (Si),4705.2
Cs,Lb3,Emission Line,4711.0
Eu,Lb4,Escape Peak (Si),4738.0
Dy,La2,Escape Peak (Si),4757.0
Eu,Lb1,Escape Peak (Si),4758.4
Mo,Lb1,Sum Peak (2x),4787.8
Mn,Kb1,Escape Peak (Si),4791.8
Mn,Kb3,Escape Peak (Si),4791.8
Dy,La1,Escape Peak (Si),4798.0
Ce,La2,Emission Line,4820.6
Ba,Lb1,Emission Line,4828.3
Mn,Kb5,Escape Peak (Si),4837.0
V,Ka3,Emission Line,4838.3
